보수가 궁금하시면 편하게 물어보세요	Fee enquiries are welcome
건설업 세무, 지금 바로 상담하세요	Construction Tax Consultation
수출입업 세무, 지금 바로 상담하세요	Import &amp; Export Tax Consultation
제조업 세무, 지금 바로 상담하세요	Manufacturing Tax Consultation
도소매업 세무, 지금 바로 상담하세요	Wholesale &amp; Retail Tax Consultation
학원업 세무, 지금 바로 상담하세요	Private Academy Tax Consultation
음식점업 세무, 지금 바로 상담하세요	Restaurant Tax Consultation
지금 바로 상담을 시작하세요	Request a consultation
궁금한 점이 있으신가요?	For any enquiry
정확한 견적이 필요하신가요?	For a precise quotation
카카오톡으로 빠르고 간편하게!	Consult conveniently via KakaoTalk
번거로운 양식 작성 없이 카카오톡으로 바로 상담을	Consultation is also available directly via KakaoTalk,
시작하세요.	without completing a form.
카카오톡으로 상담하기	Consult via KakaoTalk
카톡 상담하기	KakaoTalk consultation
카톡 상담	KakaoTalk
카톡으로 상담 신청	Request a consultation via KakaoTalk
카톡으로 견적 문의	Request a quotation via KakaoTalk
번거로운 양식 없이 카카오톡으로 최준위 세무사와 바로 상담할 수 있습니다.	Consultation with Choi Jun-wi, CTA is available directly via KakaoTalk, without completing a form.
양식 작성이 번거로우시면 전화나 카카오톡으로 바로 문의하셔도 됩니다. 사업자등록 전 단계의 상담도 환영합니다.	Enquiries may also be made by telephone or KakaoTalk in place of the form. Consultations prior to business registration are equally welcome.
사업 규모와 거래 형태를 알려주시면 맞춤 보수를 안내해 드립니다.	Please provide your business size and trading structure, and a tailored fee will be quoted.
업종과 사업 형태, 궁금하신 점을 자유롭게 적어주세요.	Please describe your industry, business structure and the matter you wish to raise.
직접 연락도 가능합니다	Direct contact
다른 업종도 확인해 보세요	Other practice areas
더 많은 인사이트 확인하기	View all insights
자세히 보기	View details
오시는 길 보기 →	View directions →
양식으로 상담 신청하기 →	Submit a consultation request →
검색 결과가 없습니다.	No matching results.
업종, 세무 항목을 검색해 보세요 (예: 건설업, 부가세, 보수)	Search by industry or tax topic — construction, VAT, fees
현장을 아는 세무사에게	Entrust it to an adviser who knows the site
업종이 다르면	Where the industry differs,
세무 전략도 달라야 합니다	the tax strategy must differ accordingly
수출 기업의 세금은	Taxation for exporters
"가치 있는 선택이 귀사의 성공을 만듭니다."	"A choice of value builds your success."
정직한 세무 파트너, 최준위 세무사입니다.	Choi Jun-wi, CTA — an honest tax partner
꿀팁	Practical Tips
기계장치를 구입했는데 한 번에 비용으로 처리할 수 있나요?	May machinery be expensed in a single year?
하도급 대금을 지급했는데 세금계산서를 받지 못했습니다.	A subcontract payment has been made without receipt of a tax invoice.
기성금을 받았는데 세금계산서는 언제 발행해야 하나요?	When must a tax invoice be issued for a progress payment received?
수출하면 부가가치세를 전혀 내지 않나요?	Are exports entirely relieved of VAT?
수출 대금이 들어오기 전에 매입세액을 돌려받을 수 있나요?	May input tax be recovered before the export proceeds are received?
면세로 구입한 농수산물에 대해서도 공제를 받을 수 있나요?	Is a credit available on tax-exempt agricultural and marine purchases?
수입할 때 세관에 내는 부가가치세도 부담을 줄일 수 있나요?	May the VAT payable to customs on importation also be relieved?
재고가 장부와 맞지 않으면 세무상 문제가 되나요?	Does a discrepancy between stock and the books create a tax exposure?
학원 차량 운행 비용은 경비로 인정되나요?	Are academy vehicle running costs deductible?
연구개발비도 세액공제를 받을 수 있나요?	Do research and development costs qualify for a tax credit?
신용카드 매출에도 세액공제가 있나요?	Is a tax credit available on card sales?
현금영수증은 반드시 발행해야 하나요?	Is the issuance of cash receipts mandatory?
교재비나 부교재 판매도 면세인가요?	Are textbooks and supplementary materials also exempt?
학원 교습비에도 부가가치세가 붙나요?	Is VAT chargeable on academy tuition?
아르바이트 인건비는 어떻게 처리하나요?	How should part-time payroll be treated?
배달앱 매출은 어떻게 신고해야 하나요?	How should delivery-app revenue be reported?
사업장현황신고를 놓치면 어떻게 되나요?	What are the consequences of omitting the business establishment status return?
수출 매출은 어느 시점에 잡아야 하나요?	At what point should export revenue be recognised?
재고자산 평가방법은 꼭 신고해야 하나요?	Must an inventory valuation method be filed?
온라인 오픈마켓 매출은 어떻게 신고하나요?	How should open marketplace revenue be reported?
외화로 받은 매출은 어떤 환율로 환산하나요?	At what exchange rate is revenue denominated in foreign currency translated?
강사에게 지급하는 강사료는 어떻게 신고하나요?	How are fees paid to instructors reported?
간이과세와 일반과세 중 어느 쪽이 유리한가요?	Which is more advantageous, simplified or general VAT taxation?
매입세액을 공제받지 못하는 지출에는 어떤 것이 있나요?	Which expenditures are excluded from the input tax credit?
현장 일용직 노무비는 어떤 서류를 갖춰야 하나요?	What documentation is required for on-site day-laborer costs?
외주가공비 처리에서 자주 문제가 되는 부분은 무엇인가요?	What issues commonly arise in the treatment of outsourced processing costs?
건설업 면허 유지에 필요한 실질자본금은 언제 판단하나요?	At what point is the substantive capital required to maintain a construction licence assessed?
건설업도 중소기업 특별세액감면을 받을 수 있나요?	Are construction firms eligible for the Special Tax Reduction for Small and Medium Enterprises?
제조업도 중소기업 특별세액감면을 받을 수 있나요?	Are manufacturers eligible for the Special Tax Reduction for Small and Medium Enterprises?
인테리어 비용은 한 번에 비용으로 처리할 수 있나요?	May interior fit-out costs be expensed in a single year?
선택해 주세요	Please select
홍길동	Hong Gil-dong
