보수가 궁금하시면 편하게 물어보세요	报酬事宜，欢迎垂询
건설업 세무, 지금 바로 상담하세요	建设业税务咨询
수출입업 세무, 지금 바로 상담하세요	进出口业税务咨询
제조업 세무, 지금 바로 상담하세요	制造业税务咨询
도소매업 세무, 지금 바로 상담하세요	批发零售业税务咨询
학원업 세무, 지금 바로 상담하세요	补习班税务咨询
음식점업 세무, 지금 바로 상담하세요	餐饮业税务咨询
지금 바로 상담을 시작하세요	申请咨询
궁금한 점이 있으신가요?	如有疑问
정확한 견적이 필요하신가요?	如需准确报价
카카오톡으로 빠르고 간편하게!	通过KakaoTalk便捷咨询
번거로운 양식 작성 없이 카카오톡으로 바로 상담을	亦可通过KakaoTalk直接咨询，
시작하세요.	无需填写表格。
카카오톡으로 상담하기	通过KakaoTalk咨询
카톡 상담하기	KakaoTalk咨询
카톡 상담	KakaoTalk
카톡으로 상담 신청	通过KakaoTalk申请咨询
카톡으로 견적 문의	通过KakaoTalk询价
번거로운 양식 없이 카카오톡으로 최준위 세무사와 바로 상담할 수 있습니다.	无需填写表格，即可通过KakaoTalk直接与Choi Jun-wi税务师咨询。
양식 작성이 번거로우시면 전화나 카카오톡으로 바로 문의하셔도 됩니다. 사업자등록 전 단계의 상담도 환영합니다.	亦可以电话或KakaoTalk代替表格提出咨询。办理营业执照之前的咨询同样欢迎。
사업 규모와 거래 형태를 알려주시면 맞춤 보수를 안내해 드립니다.	请告知业务规模与交易形态，本所将提供相应的报酬方案。
업종과 사업 형태, 궁금하신 점을 자유롭게 적어주세요.	请填写您所属行业、经营形态及欲咨询的事项。
직접 연락도 가능합니다	直接联系方式
다른 업종도 확인해 보세요	其他业务领域
더 많은 인사이트 확인하기	查看全部洞察
자세히 보기	查看详情
오시는 길 보기 →	查看交通路线 →
양식으로 상담 신청하기 →	提交咨询申请 →
검색 결과가 없습니다.	未找到相关结果。
업종, 세무 항목을 검색해 보세요 (예: 건설업, 부가세, 보수)	按行业或税务项目检索 — 建设业、增值税、报酬
현장을 아는 세무사에게	委托了解现场的税务师
업종이 다르면	行业不同，
세무 전략도 달라야 합니다	税务策略亦应随之不同
수출 기업의 세금은	出口企业的税务
"가치 있는 선택이 귀사의 성공을 만듭니다."	“有价值的选择，成就贵公司的成功。”
정직한 세무 파트너, 최준위 세무사입니다.	Choi Jun-wi 税务师 — 诚实的税务伙伴
꿀팁	实务提示
기계장치를 구입했는데 한 번에 비용으로 처리할 수 있나요?	购置机器设备后，可否一次性计入费用？
하도급 대금을 지급했는데 세금계산서를 받지 못했습니다.	已支付分包款，但未取得税务发票。
기성금을 받았는데 세금계산서는 언제 발행해야 하나요?	收取进度款后，税务发票应于何时开具？
수출하면 부가가치세를 전혀 내지 않나요?	出口是否完全无需缴纳增值税？
수출 대금이 들어오기 전에 매입세액을 돌려받을 수 있나요?	在出口货款到账之前，可否先行取得进项税额退税？
면세로 구입한 농수산물에 대해서도 공제를 받을 수 있나요?	免税采购的农水产品可否适用扣除？
수입할 때 세관에 내는 부가가치세도 부담을 줄일 수 있나요?	进口时向海关缴纳的增值税可否减轻负担？
재고가 장부와 맞지 않으면 세무상 문제가 되나요?	存货与账簿不符是否构成税务风险？
학원 차량 운행 비용은 경비로 인정되나요?	补习班车辆运行费用可否认定为费用？
연구개발비도 세액공제를 받을 수 있나요?	研究开发费用可否适用税额抵免？
신용카드 매출에도 세액공제가 있나요?	信用卡销售是否适用税额扣除？
현금영수증은 반드시 발행해야 하나요?	现金收据是否必须开具？
교재비나 부교재 판매도 면세인가요?	教材及辅助教材的销售是否亦属免税？
학원 교습비에도 부가가치세가 붙나요?	补习班学费是否应课征增值税？
아르바이트 인건비는 어떻게 처리하나요?	兼职人员人工费应如何处理？
배달앱 매출은 어떻게 신고해야 하나요?	外卖平台销售额应如何申报？
사업장현황신고를 놓치면 어떻게 되나요?	遗漏营业场所现状申报将产生何种后果？
수출 매출은 어느 시점에 잡아야 하나요?	出口销售额应于何时确认？
재고자산 평가방법은 꼭 신고해야 하나요?	存货计价方法是否必须申报？
온라인 오픈마켓 매출은 어떻게 신고하나요?	线上开放平台销售额应如何申报？
외화로 받은 매출은 어떤 환율로 환산하나요?	以外币收取的销售额应按何种汇率折算？
강사에게 지급하는 강사료는 어떻게 신고하나요?	支付给讲师的酬金应如何申报？
간이과세와 일반과세 중 어느 쪽이 유리한가요?	简易课税与一般课税，何者更为有利？
매입세액을 공제받지 못하는 지출에는 어떤 것이 있나요?	哪些支出不得抵扣进项税额？
현장 일용직 노무비는 어떤 서류를 갖춰야 하나요?	工地日雇劳动者的劳务费须备妥何种单证？
외주가공비 처리에서 자주 문제가 되는 부분은 무엇인가요?	外包加工费的处理中常见何种问题？
건설업 면허 유지에 필요한 실질자본금은 언제 판단하나요?	维持建设业资质所需的实质资本于何时判断？
건설업도 중소기업 특별세액감면을 받을 수 있나요?	建设业可否适用中小企业特别税额减免？
제조업도 중소기업 특별세액감면을 받을 수 있나요?	制造业可否适用中小企业特别税额减免？
인테리어 비용은 한 번에 비용으로 처리할 수 있나요?	装修费用可否一次性计入费用？
선택해 주세요	请选择
홍길동	洪吉童
